역,x,y
구룡역,37.486839,127.058856
홍제역,37.589066,126.943736
김유정역,37.818466,127.71434
남춘천역,37.864007,127.723792
풍기역,,
성균관대역,37.300349,126.97075
수서역,37.487371,127.10188
수서역,37.487371,127.10188
경찰병원역,37.495918,127.12454
구일역,37.496756,126.870793
야탑역,37.411185,127.128715
삼송역,37.653083,126.895558
화정역,37.634592,126.83265
영등포시장역,37.522669,126.905139
상일동역,37.556712,127.166417
공릉역,37.625742,127.072896
상도역,37.502834,126.94791
을지로4가역,37.566941,126.998079
을지로4가역,37.566941,126.998079
박촌역,37.553703,126.745077
구성역,37.298969,127.105664
인하대역,37.448493,126.649619
숭의역,37.460789,126.638297
센트럴파크역,37.393054,126.634729
국제업무지구역,37.399907,126.630347
강매역,37.612314,126.843223
달월역,37.379681,126.745177
원흥역,37.650658,126.872642
완정역,37.592928,126.673203
지평역,,
석바위시장역,37.457611,126.692575
서울역,37.554648,126.972559
서울역,37.554648,126.972559
서울역,37.554648,126.972559
시청역,37.564718,126.977108
시청역,37.564718,126.977108
동대문역사문화공원역,37.565138,127.007896
동대문역사문화공원역,37.565138,127.007896
동대문역사문화공원역,37.565138,127.007896
신당역,37.565972,127.01782
신당역,37.565972,127.01782
상왕십리역,37.564354,127.029354
왕십리역,37.561533,127.037732
왕십리역,37.561533,127.037732
왕십리역,37.561533,127.037732
왕십리역,37.561533,127.037732
한양대역,37.555273,127.043655
뚝섬역,37.547184,127.047367
성수역,37.544581,127.055961
청계산입구역,37.447211,127.055664
북한산우이역,,
건대입구역,37.540693,127.07023
건대입구역,37.540693,127.07023
구의역,37.537077,127.085916
잠실나루역,37.520733,127.10379
잠실역,37.51395,127.102234
잠실역,37.51395,127.102234
잠실새내역,37.511687,127.086162
종합운동장역,37.510997,127.073642
종합운동장역,37.510997,127.073642
삼성역,37.508844,127.06316
선릉역,37.504503,127.049008
선릉역,37.504503,127.049008
역삼역,37.500622,127.036456
강남역,37.497175,127.027926
강남역,37.497175,127.027926
서초역,37.491897,127.007917
방배역,37.481426,126.997596
사당역,37.47653,126.981685
사당역,37.47653,126.981685
낙성대역,37.47693,126.963693
서울대입구역,37.481247,126.952739
봉천역,37.482362,126.941892
신림역,37.484201,126.929715
신대방역,37.487462,126.913149
구로디지털단지역,37.485266,126.901401
대림역,37.49297,126.895801
대림역,37.49297,126.895801
신도림역,37.508725,126.891295
신도림역,37.508725,126.891295
문래역,37.517933,126.89476
영등포구청역,37.52497,126.895951
영등포구청역,37.52497,126.895951
당산역,37.53438,126.902281
당산역,37.53438,126.902281
합정역,37.549463,126.913739
합정역,37.549463,126.913739
홍대입구역,37.557192,126.925381
홍대입구역,37.557192,126.925381
홍대입구역,37.557192,126.925381
신촌역,37.555134,126.936893
이대역,37.556733,126.946013
아현역,37.557345,126.956141
충정로역,37.559973,126.963672
충정로역,37.559973,126.963672
용답역,37.561904,127.050899
신답역,37.57004,127.046481
도림천역,37.514287,126.882768
양천구청역,37.512398,126.865819
신정네거리역,37.520074,126.852912
용두역,37.574028,127.038091
지축역,37.648048,126.913951
구파발역,37.636763,126.918821
연신내역,37.619001,126.921008
연신내역,37.619001,126.921008
불광역,37.610469,126.929887
불광역,37.610469,126.929887
녹번역,37.600927,126.935756
무악재역,37.582299,126.950291
독립문역,37.574571,126.957748
경복궁역,37.575762,126.97353
안국역,37.576477,126.985443
동대입구역,37.559052,127.005602
약수역,37.55434,127.010655
약수역,37.55434,127.010655
금호역,37.548034,127.015872
옥수역,37.540685,127.017965
옥수역,37.540685,127.017965
압구정역,37.527072,127.028461
신사역,37.516334,127.020114
잠원역,37.512759,127.01122
고속터미널역,37.50481,127.004943
고속터미널역,37.50481,127.004943
고속터미널역,37.50481,127.004943
교대역,37.493415,127.01408
교대역,37.493415,127.01408
남부터미널역,37.485013,127.016189
양재역,37.484147,127.034631
양재역,37.484147,127.034631
매봉역,37.486947,127.046769
도곡역,37.490858,127.055381
도곡역,37.490858,127.055381
대치역,37.494612,127.063642
학여울역,37.496663,127.070594
대청역,37.493514,127.079532
일원역,37.483681,127.08439
당고개역,37.670272,127.079066
상계역,37.660878,127.073572
노원역,37.655128,127.061368
노원역,37.655128,127.061368
창동역,37.653166,127.047731
창동역,37.653166,127.047731
쌍문역,37.648627,127.034709
수유역,37.638052,127.025732
미아역,37.62667,127.025983
미아사거리역,37.613292,127.030053
길음역,37.603407,127.025053
성신여대입구역,37.592624,127.016403
성신여대입구역,37.592624,127.016403
한성대입구역,37.588458,127.006221
혜화역,37.582336,127.001844
명동역,37.560989,126.986325
회현역,37.558514,126.978246
숙대입구역,37.54456,126.972106
삼각지역,37.534777,126.97311
삼각지역,37.534777,126.97311
신용산역,37.52917,126.967894
이촌역,37.522272,126.974345
이촌역,37.522272,126.974345
동작역,37.502971,126.979306
동작역,37.502971,126.979306
총신대입구(이수)역,37.486263,126.981989
총신대입구(이수)역,37.486263,126.981989
남태령역,37.463873,126.989134
남영역,37.541021,126.9713
노량진역,37.514219,126.942454
노량진역,37.514219,126.942454
대방역,37.513342,126.926382
영등포역,37.515504,126.907628
서빙고역,37.519594,126.988537
한남역,37.52943,127.009169
응봉역,37.549946,127.034538
회기역,37.58946,127.057583
회기역,37.58946,127.057583
회기역,37.58946,127.057583
외대앞역,37.596073,127.063549
신이문역,37.601854,127.067325
석계역,37.614805,127.065851
석계역,37.614805,127.065851
광운대역,37.623632,127.061835
광운대역,37.623632,127.061835
월계역,37.633212,127.058831
녹천역,37.644799,127.051269
개포동역,37.489116,127.06614
대모산입구역,37.491373,127.07272
복정역,37.470047,127.126662
복정역,37.470047,127.126662
신길역,37.517122,126.917169
신길역,37.517122,126.917169
중랑역,37.594917,127.076116
중랑역,37.594917,127.076116
망우역,37.59955,127.091909
망우역,37.59955,127.091909
양원역,37.606596,127.107906
구리역,37.603392,127.143869
도농역,37.608806,127.161153
양정역,37.60533,127.19364
덕소역,37.586781,127.208832
도심역,37.579622,127.222672
팔당역,37.547371,127.243939
운길산역,37.554669,127.310115
양수역,37.545981,127.329098
신원역,37.525545,127.372921
국수역,37.516169,127.399367
아신역,37.51382,127.443173
오빈역,37.506062,127.473868
양평(경의중앙선)역,37.492832,127.491814
원덕역,37.468672,127.547076
용문역,37.48223,127.594647
서울(경의중앙선)역,37.556328,126.969522
신촌(경의중앙선)역,37.559783,126.942319
서강대역,37.551881,126.935711
가좌역,37.568491,126.915487
수색역,37.580842,126.895611
화전역,37.602888,126.868387
행신역,37.612102,126.834146
능곡역,37.618808,126.820783
곡산역,37.645676,126.801762
백마역,37.658239,126.794461
풍산역,37.672346,126.786243
일산역,37.682077,126.769846
탄현역,37.694023,126.761086
야당역,37.712327,126.761356
운정역,37.725826,126.767257
금릉역,37.751322,126.765347
금촌역,37.766217,126.774644
월롱역,37.796188,126.792587
파주역,37.815298,126.792783
문산역,37.854619,126.788047
신내역,37.612887,127.103218
갈매역,37.634118,127.114757
별내역,37.64202,127.12684
퇴계원역,37.648311,127.143952
사릉역,37.65108,127.176933
금곡역,37.637382,127.207853
평내호평역,37.653225,127.244493
천마산역,37.658978,127.285379
마석역,37.652782,127.311767
대성리역,37.684071,127.379319
청평역,37.735488,127.42661
상천역,37.770246,127.454821
가평역,37.814536,127.510739
굴봉산역,37.832067,127.557695
백양리역,37.830779,127.58933
강촌역,37.805723,127.634146
춘천역,37.885054,127.717023
봉명역,36.801215,127.135763
쌍용(나사렛대)역,36.793759,127.1214
아산역,36.792053,127.104361
탕정역,,
배방역,36.777629,127.052991
온양온천역,36.780483,127.003249
신창역,36.769502,126.951108
선바위역,37.451673,127.002303
경마공원역,37.443885,127.007888
대공원역,37.435675,127.006523
과천역,37.433021,126.996568
정부과천청사역,37.426513,126.98978
인덕원역,37.401553,126.976715
평촌역,37.394287,126.963883
범계역,37.389793,126.950806
금정역,37.372221,126.943429
금정역,37.372221,126.943429
삼동역,37.409522,127.20336
경기광주역,37.399907,127.25263
초월역,37.374419,127.299
곤지암역,37.351315,127.34674
신둔도예촌역,37.317185,127.40476
이천역,37.265579,127.44226
부발역,37.260192,127.490277
세종대왕릉역,37.295309,127.570938
여주역,,
구로역,37.503039,126.881966
가산디지털단지역,37.481072,126.882343
가산디지털단지역,37.481072,126.882343
금천구청역,37.455626,126.89398
석수역,37.435047,126.902295
관악역,37.419232,126.908706
안양역,37.401592,126.922874
명학역,37.384653,126.935433
군포역,37.35356,126.948462
의왕역,37.320852,126.948217
화서역,37.283862,126.989627
수원역,37.265974,126.999874
수원역,37.265974,126.999874
독산역,37.466613,126.889249
세류역,37.245025,127.013222
병점역,37.207503,127.032731
세마역,37.187533,127.04318
오산대역,37.168953,127.063197
오산역,37.145885,127.06672
진위역,37.109447,127.062278
송탄역,37.075696,127.054301
서정리역,37.056496,127.052819
지제역,37.0188,127.070444
평택역,36.990726,127.085159
성환역,36.916076,127.126964
직산역,36.870593,127.143904
두정역,36.833705,127.14896
천안역,36.810005,127.146826
당정역,37.344285,126.948345
서동탄역,37.195504,127.051672
광명역,37.416182,126.884466
산본역,37.358101,126.933274
대야미역,37.328467,126.917332
반월역,37.312212,126.903524
상록수역,37.302795,126.866489
한대앞역,37.309689,126.85344
중앙역,37.315941,126.838573
고잔역,37.316777,126.823249
초지역,37.320646,126.805913
안산역,37.327082,126.788532
신길온천역,37.338212,126.765844
정왕역,37.351735,126.742989
오이도역,37.362357,126.738714
오이도역,37.362357,126.738714
수리산역,37.349801,126.925365
개봉역,37.494594,126.85868
오류동역,37.494526,126.845365
역곡역,37.485178,126.811502
부천역,37.48405,126.782686
송내역,37.4876,126.753664
부평역,37.489493,126.724805
부평역,37.489493,126.724805
백운역,37.483664,126.707704
동암역,37.471408,126.702896
주안역,37.464941,126.679923
주안역,37.464941,126.679923
제물포역,37.466769,126.656666
동인천역,37.475276,126.632802
인천역,37.476691,126.616936
인천역,37.476691,126.616936
부개역,37.488418,126.74109
간석역,37.464737,126.694181
도원역,37.468446,126.642706
온수역,37.492258,126.823388
온수역,37.492258,126.823388
중동역,37.486562,126.764843
도화역,37.46607,126.668672
서울숲역,37.543617,127.044707
압구정로데오역,37.527381,127.040534
소사역,37.482753,126.79544
선정릉역,37.51098,127.043593
선정릉역,37.51098,127.043593
가천대역,37.448605,127.126697
태평역,37.440019,127.127709
모란역,37.43213,127.129087
모란역,37.43213,127.129087
서현역,37.385126,127.123592
수내역,37.378455,127.114322
정자역,37.36706,127.108105
정자역,37.36706,127.108105
미금역,37.350077,127.10891
오리역,37.339824,127.108942
이매역,37.396104,127.12827
이매역,37.396104,127.12827
보정역,37.312752,127.108196
죽전역,37.324753,127.107395
신갈역,37.286102,127.111313
기흥역,37.275619,127.115936
기흥역,37.275619,127.115936
상갈역,37.26181,127.108847
청명역,37.259489,127.078934
영통역,37.251568,127.071394
망포역,37.245795,127.057353
매탄권선역,37.252759,127.040566
수원시청역,37.261911,127.030736
매교역,37.265481,127.015678
월곶역,37.391769,126.742699
소래포구역,37.40095,126.733522
인천논현역,37.400614,126.722478
호구포역,37.401637,126.708627
남동인더스파크역,37.407722,126.695216
연수역,37.417804,126.67894
송도역,37.428514,126.657772
신포역,37.46874,126.623853
방학역,37.667503,127.044273
도봉역,37.679563,127.045595
도봉산역,37.689313,127.046222
도봉산역,37.689313,127.046222
망월사역,37.709914,127.047455
회룡역,37.724846,127.046895
회룡역,37.724846,127.046895
의정부역,37.738415,127.045958
가능역,37.748577,127.044213
녹양역,37.75938,127.042292
양주역,37.774381,127.044708
덕계역,37.818486,127.056486
덕정역,37.843188,127.061277
지행역,37.892334,127.055716
동두천중앙역,37.901885,127.056482
보산역,37.913702,127.057277
동두천역,37.927878,127.05479
소요산역,37.9481,127.061034
원당역,37.653324,126.843041
대곡역,37.631626,126.811024
대곡역,37.631626,126.811024
백석역,37.643114,126.78787
마두역,37.652206,126.77762
정발산역,37.659477,126.773359
주엽역,37.670072,126.761334
대화역,37.676087,126.747569
방화역,37.577446,126.812741
개화산역,37.572399,126.806171
김포공항역,37.562434,126.801058
김포공항역,37.562434,126.801058
김포공항역,37.562434,126.801058
송정역,37.561184,126.811973
마곡역,37.560183,126.825448
발산역,37.558598,126.837668
우장산역,37.548768,126.836318
화곡역,37.541513,126.840461
까치산역,37.531768,126.846683
까치산역,37.531768,126.846683
신정역,37.524997,126.856191
목동역,37.526065,126.864931
오목교역,37.524496,126.875181
양평역,37.525648,126.885778
여의도역,37.521624,126.924191
여의도역,37.521624,126.924191
여의나루역,37.527098,126.932901
마포역,37.539574,126.945932
